CT,BSIT,CURRICULUM,,
LEVEL,TERM,UNITS,CODE,TITLE
1,1,3,ICC 0111,Introduction to Computing
1,1,3,ICC 0112,Fundamentals of Programming
1,1,3,CET 0111,Calculus 1
1,2,3,ICC 0121,Intermediate Programming
1,2,3,ICC 0122,Data Structures and Algorithms
1,2,3,CET 0112,Calculus 2
2,1,3,ICC 0211,Information Management
2,1,3,EIT 0211,Event Driven Programming
2,1,3,EIT 0212,Discrete Mathematics
2,2,3,ICC 0221,Applications Development
2,2,3,EIT 0221,Quantitative Methods
2,2,3,EIT 0222,Web Systems Technology
3,1,3,EIT 0311,Networking 1
3,1,3,EIT 0312,Advanced Database Systems
3,1,3,EIT 0313,Platform Technology
3,2,3,EIT 0321,Networking 2
3,2,3,EIT 0322,Information Assurance and Security
3,2,3,EIT 0323,Integrative Programming and Technologies
3,3,2,EIT 0331,IT Practicum
4,1,3,EIT 0411,Capstone Project 1
4,1,3,EIT 0412,System Integration and Architecture 1
4,1,3,EIT 0413,Information Technology Elective 1
4,2,3,EIT 0421,Capstone Project 2
4,2,3,EIT 0422,System Integration and Architecture 2
4,2,3,EIT 0423,Information Technology Elective 2